en,kin,phrase,categ,verified,prefs,prefpl,sanotek,sanopl,cumbi,modif,kinSing,kinPl,enSing,enPl,simplP,pastP,syn,context,situation,author,revised,updated
intelligent,zi ubwenge,0,verbadj,1,,,n,n,zi ubwenge,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
here,hano,0,adverb,1,,,n,n,hano,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,63,0,1000000
language,ururimi :: indimi,0,noun,1,u,i,ru,n,rimi,,ururimi,indimi,language,languages,,,,,,63,0,1000000
tongue,ururimi :: indimi,0,noun,1,u,i,ru,n,rimi,,ururimi,indimi,tongue,tongues,,,,,,63,0,1000000
vagina,igituba :: ibituba,0,noun,1,i,i,gi,bi,tuba,,igituba,ibituba,vagina,vaginas,,,pussy,,,217,0,1000000
pussy,igituba :: ibituba,0,noun,1,i,i,gi,bi,tuba,,igituba,ibituba,pussy,pussies,,,vagina,,,217,0,1000000
penis,imboro :: imboro,0,noun,1,i,i,m,m,boro,,imboro,imboro,penis,penises,,,dick,,,217,0,1000000
dick,imboro :: imboro,0,noun,1,i,i,m,m,boro,,imboro,imboro,dick,dicks,,,penis,,,217,0,1000000
testicle,ibya :: amabya,0,noun,1,i,a,ri,ma,bya,,ibya,amabya,testicle,testicles,,,penis,,,217,0,1000000
vacation,ikiruhuko :: ibiruhuko,0,noun,1,i,i,ki,bi,ruhuko,,ikiruhuko,ibiruhuko,vacation,vacations,,,holidays,,,217,0,1000000
holidays,ibiruhuko :: ibiruhuko,0,noun,1,i,i,bi,bi,ruhuko,,ibiruhuko,ibiruhuko,holidays,holidays,,,vacation,,,217,0,1000000
soon,vuba,0,adverb,1,,,n,n,vuba,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
dung,amase :: amase,0,noun,1,,,ma,ma,se,,amase,amase,dung,dung,,,,,,217,0,1000000
economy,ubukungu :: ubukungu,0,noun,1,u,u,bu,bu,kungu,,ubukungu,ubukungu,economy,economies,,,,,,217,0,1000000
heavily,bikabije,0,adjective,1,,,n,n,bikabije,,NOT APPLICABLE,NOT APPLICABLE,,,,,excessively,,,217,0,1000000
during,mu gihe cya,0,adverb,1,,,n,n,mu gihe cya,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
since,kuva,0,adverb,1,,,n,n,kuva,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
base,gushingira,0,verb,1,,,n,n,shingira,shingiye,NOT APPLICABLE,NOT APPLICABLE,,,based,based,,,,217,0,1000000
mostly,cyane cyane,0,adverb,1,,,n,n,cyane cyane,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
agriculture,ubuhinzi :: ubuhinzi,0,noun,1,u,u,bu,bu,hinzi,,ubuhinzi,ubuhinzi,agriculture,farming,,,,,,217,0,1000000
tea,icyayi :: icyayi,0,noun,1,i,i,ki,ki,ayi,,icyayi,icyayi,tea,tea,,,,,,217,0,1000000
major,nyamukuru,0,adjective,1,,,n,n,nyamukuru,,NOT APPLICABLE,NOT APPLICABLE,,,,,paramount,,,217,0,1000000
cash,amafaranga :: amafaranga,0,noun,1,a,a,ma,ma,faranga,,amafaranga,amafaranga,cash,cash,,,,,,217,0,1000000
export,kwohereza hanze,0,verb,1,,,n,n,ohereza hanze,ohereje hanze,NOT APPLICABLE,NOT APPLICABLE,,,exported,exported,,,,217,0,1000000
tourism,ubukerarugendo :: ubukerarugendo,0,noun,1,u,u,bu,bu,kerarugendo,,ubukerarugendo,ubukerarugendo,tourism,tourism,,,,,,217,0,1000000
tourist,umukerarugendo :: abakerarugendo,0,noun,1,u,a,mu,ba,kerarugendo,,umukerarugendo,abakerarugendo,tourist,tourists,,,,,,217,0,1000000
fast-growing,kura vuba vuba,0,adjective,1,,,n,n,kura vuba vuba,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
subsistence,imibereho :: imibereho,0,noun,1,i,i,mi,mi,bereho,,imibereho,imibereho,subsistence,subsistence,,,,,,217,0,1000000
population,abaturage :: abaturage,0,noun,1,a,a,ba,ba,turage,,abaturage,abaturage,population,population,,,,,,1,0,1000000
predominantly,cyane cyane,0,adverb,1,,,n,n,cyane cyane,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,1,0,1000000
rural,o mu cyaro,0,verbadj,1,,,n,n,o mu cyaro,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,1,0,1000000
young,to,0,adjective,1,,,n,n,to,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,1,0,1000000
density,ubucucike :: ubucucike,0,noun,1,u,u,bu,bu,cucike,,ubucucike,ubucucike,density,densities,,,,,,1,0,1000000
group,itsinda :: atsinda,0,noun,1,i,a,ri,ma,tsinda,,itsinda,atsinda,group,groups,,,,,,1,0,1000000
notebook,ikayi :: amakayi,0,noun,1,i,a,n,ma,kayi,,ikayi,amakayi,notebook,notebooks,,,,,,1,0,1000000
notebook,inkayi :: amakayi,0,noun,1,,,n,ma,kayi,,inkayi,amakayi,notebook,notebooks,,,,,,1,0,1000000
pen,ikaramu :: amakaramu,0,noun,1,i,a,n,ma,karamu,,ikaramu,amakaramu,pen,pens,,,,,,1,0,1000000
black,umukara :: umukara,0,noun,1,u,u,mu,mu,kara,,umukara,umukara,black,black,,,,,,1,0,1000000
rose,iroza :: amaroza,0,noun,1,i,a,ri,ma,roza,,iroza,amaroza,rose,roses,,,,,,1,0,1000000
trousers,ipantalo :: amapantalo,0,noun,1,i,a,m,ma,pantalo,,ipantalo,amapantalo,trousers,trousers,,,,,,1,0,1000000
pants,ipantalo :: amapantalo,0,noun,1,i,a,m,ma,pantalo,,ipantalo,amapantalo,pants,pants,,,,,,1,0,1000000
suit,kositimu,0,borrowed,1,,,n,n,kositimu,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,1,0,1000000
suit,ikositimu :: amakositimu,0,noun,1,i,a,n,ma,kositimu,,ikositimu,amakositimu,suit,suits,,,,,,1,0,1000000
lake,ikiyaga :: ibiyaga,0,noun,1,i,i,ki,bi,yaga,,ikiyaga,ibiyaga,lake,lakes,,,,,,217,0,1347679188
hyena,impyisi :: impyisi,0,noun,1,i,i,m,m,pyisi,,impyisi,impyisi,hyena,hyenas,,,,,,217,0,1347671083
slut,indaya :: indaya,0,noun,1,i,i,n,n,raya,,indaya,indaya,slut,sluts,,,,,,217,0,1347683163
section,igice :: ibice,0,noun,1,,,gi,bi,ce,,igice,ibice,section,sections,,,part,,,2487,0,1350770031
sing,kuririmba,0,verb,0,,,n,n,ririmba,ririmbye,NOT APPLICABLE,NOT APPLICABLE,,,sang,sung,,,,217,0,1356198526
confusion,urujijo :: urujijo,0,noun,0,u,u,ru,ru,jijo,,urujijo,urujijo,confusion,confusion,,,,,,2487,0,1352500684
wolf,ikirura :: ibirura,0,noun,0,i,i,ki,bi,rura,,ikirura,ibirura,wolf,wolves,,,,,,217,0,1355960905
stockholder,umunyamigabane :: abanyamigabane,0,noun,0,u,a,mu,ba,nyamigabane,,umunyamigabane,abanyamigabane,stockholder,stockholders,,,shareholder,,,2499,0,1359070675
spread,gusakaza,0,verb,0,,,n,n,sakaza,sakaje,NOT APPLICABLE,NOT APPLICABLE,,,spread,spread,,,,2503,0,1357680067
nurse,umuganga :: abaganga,0,noun,0,u,a,mu,ba,ganga,,umuganga,abaganga,nurse,nurses,,,"doctor, dentist",,,2499,0,1351130470
loss,igihombo :: igihombo,0,noun,0,i,i,gi,gi,hombo,,igihombo,igihombo,loss,losses,,,,,,63,0,1351185286
receipt,inyemezabwishyu :: inyemezabwishyu,0,noun,0,i,i,n,n,nyemezabwishyu,,inyemezabwishyu,inyemezabwishyu,receipt,receipt,,,,,,63,0,1351185349
little,toya,0,adjective,0,,,n,n,toya,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,63,0,1351185395
smile,inseko :: inseko,0,noun,0,i,i,n,n,seko,,inseko,inseko,smile,smiles,,,,,,63,0,1351185429
smile,guseka,0,verb,0,,,n,n,seka,setse,NOT APPLICABLE,NOT APPLICABLE,,,smiled,smiled,,,,63,0,1351185459
colour,ibara :: imabara,0,noun,0,i,i,ri,ma,bara,,ibara,imabara,colour,colour,,,color,,,63,0,1351185529
knee,ivi :: amavi,0,noun,0,i,a,ri,ma,vi,,ivi,amavi,knee,knees,,,,,,2487,0,1352500057
jaw,urwasaya :: inzasaya,0,noun,0,u,i,ru,n,asaya,,urwasaya,inzasaya,jaw,jaws,,,,,,2487,0,1352499313
shoulder,urutugu :: intugu,0,noun,0,u,i,ru,n,tugu,,urutugu,intugu,shoulder,shoulders,,,,,,2487,0,1351212717
tree,igiti :: ibiti,0,noun,0,i,i,gi,bi,ti,,igiti,ibiti,tree,trees,,,,,,2499,0,1351405532
drum,ingoma :: ingoma,0,noun,0,i,i,n,n,goma,,ingoma,ingoma,drum,drums,,,,,,2487,0,1351470451
push,gusunika,0,verb,0,,,n,n,sunika,sunitse,NOT APPLICABLE,NOT APPLICABLE,,,pushed,pushed,,,,2487,0,1351589521
press,gukanda,0,verb,0,,,n,n,kanda,kanze,NOT APPLICABLE,NOT APPLICABLE,,,pressed,pressed,,,,2487,0,1351589698
chew,gukanja,0,verb,0,,,n,n,kanja,kanje,NOT APPLICABLE,NOT APPLICABLE,,,chewed,chewed,,,,2487,0,1351589910
chewable,kanjwa,0,adjective,0,,,n,n,kanjwa,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2487,0,1351590047
edible,ribwa,0,adjective,0,,,n,n,ribwa,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2487,0,1351590116
guitar,gitari,0,borrowed,0,,,n,n,gitari,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2487,0,1351590337
cellphone,telefone igendanwa,0,borrowed,0,,,n,n,telefone igendanwa,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2487,0,1351591155
prayer,irisengesho :: amasengesho,0,noun,0,i,a,ri,ma,sengesho,,irisengesho,amasengesho,prayer,prayers,,,,,,2487,0,1351591314
messenger,intumwa :: intumwa,0,noun,0,i,i,n,n,tumwa,,intumwa,intumwa,messenger,messengers,,,,,,2487,0,1351591479
refugee,inhunzi :: inhunzi,0,noun,0,i,i,n,n,hunzi,,inhunzi,inhunzi,refugee,refugees,,,,,,2487,0,1351591658
refuge,ubuhungiro :: ubuhungiro,0,noun,0,u,u,bu,bu,hungiro,,ubuhungiro,ubuhungiro,refuge,refuge,,,,,,2487,0,1351591850
circle,uruziga :: inziga,0,noun,0,u,i,ru,n,ziga,,uruziga,inziga,circle,circles,,,,,,2487,0,1351591921
hotel,hoteli,0,borrowed,0,,,n,n,hoteli,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2487,0,1351592106
butt,ikibuno :: ibibuno,0,noun,0,i,i,ki,bi,buno,,ikibuno,ibibuno,butt,butts,,,,,,2487,0,1351592199
corrugated iron,ibati :: amabati,0,noun,0,i,a,ri,ma,bati,,ibati,amabati,corrugated iron,corrugated irons,,,,,,2487,0,1351592481
battlefield,urugerero :: ingerero,0,noun,0,u,i,ru,n,gerero,,urugerero,ingerero,battlefield,battlefields,,,,,,2487,0,1351592726
history,amateka :: amateka,0,noun,0,a,a,ma,ma,teka,,amateka,amateka,history,history,,,,,,2487,0,1351640270
story,inkuru :: inkuru,0,noun,0,i,i,n,n,kuru,,inkuru,inkuru,story,stories,,,,,,2487,0,1351640301
colonialism,ubukoloni :: ubukoloni,0,noun,0,u,u,bu,bu,koloni,,ubukoloni,ubukoloni,colonialism,colonialism,,,,,,2487,0,1351640335
purpose,intego :: intego,0,noun,0,i,i,n,n,tego,,intego,intego,purpose,purposes,,,aim,,,2487,0,1351640438
cap,ingofero :: ingofero,0,noun,0,i,i,n,n,gofero,,ingofero,ingofero,cap,caps,,,hat,,,2487,0,1351640480
swamp,igishanga :: igishanga,0,noun,0,i,i,gi,gi,shanga,,igishanga,igishanga,swamp,swamps,,,,,,2487,0,1351698373
noise,urusaku :: urusaku,0,noun,0,u,u,ru,ru,saku,,urusaku,urusaku,noise,noise,,,,,,2487,0,1351698471
sorrow,umubabaro :: imibabaro,0,noun,0,u,i,mu,mi,babaro,,umubabaro,imibabaro,sorrow,sorrows,,,,,,2487,0,1351698552
agony,ububabare :: ububabare,0,noun,0,u,u,bu,bu,babare,,ububabare,ububabare,agony,agony,,,,,,2487,0,1351698574
sign,ikimenyetso :: ibimenyetso,0,noun,0,i,i,ki,bi,menyetso,,ikimenyetso,ibimenyetso,sign,signs,,,,,,2487,0,1351698621
symbol,ikimenyetso :: ibimenyetso,0,noun,0,i,i,ki,bi,menyetso,,ikimenyetso,ibimenyetso,symbol,symbols,,,sign,,,2487,0,1351698651
emotion,irangamutima :: amarangamutima,0,noun,0,i,a,ri,ma,rangamutima,,irangamutima,amarangamutima,emotion,emotions,,,,,,2487,0,1351698813
sin,icyaha :: ibyaha,0,noun,0,i,i,ki,bi,aha,,icyaha,ibyaha,sin,sins,,,,,,2487,0,1351699517
love,urukundo :: urukundo,0,noun,0,u,u,ru,ru,kundo,,urukundo,urukundo,love,love,,,,,,2487,0,1351705005
deny,guhakana,0,verb,0,,,n,n,hakana,hakanye,NOT APPLICABLE,NOT APPLICABLE,,,denied,denied,,,,2487,0,1351731031
door,urugi :: inzugi,0,noun,0,u,i,ru,n,ugi,,urugi,inzugi,door,doors,,,,,,2487,0,1351717686
God,imana :: imana,0,noun,0,i,i,n,n,mana,,imana,imana,God,gods,,,,,,2487,0,1351731663
bus,bisi,0,borrowed,0,,,n,n,bisi,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1352415932
hypocrite,indyarya :: indyarya,0,noun,0,i,i,n,n,ryarya,,indyarya,indyarya,hypocrite,hypocrites,,,,,,2503,0,1352416206
fire,kurasa,0,verb,0,,,n,n,rasa,she,NOT APPLICABLE,NOT APPLICABLE,,,fired,fired,,,,2503,0,1352416350
mixup,ukwitiranya :: ukwitiranya,0,noun,0,u,u,ku,ku,itiranya,,ukwitiranya,ukwitiranya,mixup,mixups,,,mix-up,,,2487,0,1352500982
mix-up,ukwitiranya :: ukwitiranya,0,noun,0,u,u,ku,ku,itiranya,,ukwitiranya,ukwitiranya,mix-up,mix-ups,,,,,,2487,0,1352501006
hesitate,gushidikanya,0,verb,0,,,n,n,shidikanya,shidikanyije,NOT APPLICABLE,NOT APPLICABLE,,,hesitated,,,,,2487,0,1352500787
mix,kuvanga,0,verb,0,,,n,n,vanga,vanze,NOT APPLICABLE,NOT APPLICABLE,,,mixed,mixed,,,,2487,0,1352500849
separate,kuvangura,0,verb,0,,,n,n,vangura,vanguye,NOT APPLICABLE,NOT APPLICABLE,,,separated,separated,,,,2487,0,1352500875
discrimination,ivangura :: amavangura,0,noun,0,i,a,ri,ma,vangura,,ivangura,amavangura,discrimination,discriminations,,,,,,2487,0,1352500914
gather,guterana,0,verb,0,,,n,n,terana,teranye,NOT APPLICABLE,NOT APPLICABLE,,,gathered,gathered,,,,2503,0,1352515633
prize,igihembo :: ibihembo,0,noun,0,i,i,gi,bi,hembo,,igihembo,ibihembo,prize,prizes,,,,,,2503,0,1352515885
vow,kurahira,0,verb,0,,,n,n,rahira,rahiye,NOT APPLICABLE,NOT APPLICABLE,,,vowed,vowed,,,,2503,0,1352516370
vow,indahiro :: indahiro,0,noun,0,i,i,n,n,rahiro,,indahiro,indahiro,vow,vows,,,promise,,,2503,0,1352516442
incomparable,tagereranywa,0,verbadj,0,,,n,n,tagereranywa,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1352516777
demeanour,imyifatire :: imyifatire,0,noun,0,i,i,mi,mi,ifatire,,imyifatire,imyifatire,demeanour,demanour,,,demeanor,,,217,0,1352527548
demeanor,imyitwarire :: imyitwarire,0,noun,0,i,i,mi,mi,itwarire,,imyitwarire,imyitwarire,demeanor,demeanors,,,demeanour,,,217,0,1352527595
brink,inkengero :: inkengero,0,noun,0,i,i,n,n,kengero,,inkengero,inkengero,brink,brinks,,,edge,,,2487,0,1352530936
recapitulate,gusubiramo,0,verb,0,,,n,n,subiramo,subiyemo,NOT APPLICABLE,NOT APPLICABLE,,,recapitulated,recapitulated,,,,217,0,1352593342
wheelbarrow,ingorofani :: ingorofani,0,noun,0,i,i,n,n,gorofani,,ingorofani,ingorofani,wheelbarrow,wheelbarrows,,,,,,217,0,1352594207
lazy,umunebwe :: abanebwe,0,noun,0,u,a,mu,ba,nebwe,,umunebwe,abanebwe,lazy,lazy,,,,,,2487,0,1352601921
cafeteria,cafeteriya,0,borrowed,0,,,n,n,cafeteriya,,NOT APPLICABLE,NOT APPLICABLE,,,,,refectory,,,2499,0,1352608538
dearth,ibura :: ibura,0,noun,0,i,i,ri,ri,bura,,ibura,ibura,dearth,dearth,,,,,,217,0,1352621763
plinth,indiba :: indiba,0,noun,0,i,i,n,n,diba,,indiba,indiba,plinth,plinths,,,,,,217,0,1352621939
newpaper,ikinyamakuru :: ibinyamakuru,0,noun,0,i,i,ki,bi,nyamakuru,,ikinyamakuru,ibinyamakuru,newpaper,newspapers,,,magazine,,,2503,0,1352765455
send,kwohereza,0,verb,0,,,n,n,ohereza,ohereje,NOT APPLICABLE,NOT APPLICABLE,,,sent,sent,,,,2503,0,1352765539
large,nini,0,adjective,0,,,n,n,nini,,NOT APPLICABLE,NOT APPLICABLE,,,,,big,,,217,0,1354055957
document,inzandiko :: inzandiko,0,noun,0,i,i,n,n,yandiko,,inzandiko,inzandiko,document,documents,,,,,,2503,0,1352768818
newspaper,ikinyamakuru :: ibinyamakuru,0,noun,0,i,i,ki,bi,nyamakuru,,ikinyamakuru,ibinyamakuru,newspaper,newspapers,,,,,,217,0,1352774681
paint,irange :: amarange,0,noun,0,i,a,ri,ma,range,,irange,amarange,paint,paints,,,"dye, color",,,2499,0,1352917683
calender,kalindari,0,borrowed,0,,,n,n,kalindari,,NOT APPLICABLE,NOT APPLICABLE,,,,,agenda,,,2499,0,1352917843
peace,amahoro :: amahoro,0,noun,0,a,a,ma,ma,horo,,amahoro,amahoro,peace,peace,,,,,,2499,0,1352918041
rest,kuruhuka,0,verb,0,,,n,n,ruhuka,ruhutse,NOT APPLICABLE,NOT APPLICABLE,,,rested,rested,,,,2499,0,1352918149
Calendar,kalindari,0,borrowed,0,,,n,n,kalindari,,NOT APPLICABLE,NOT APPLICABLE,,,,,agenda,,,2499,0,1352934325
sand,umucanga :: imicanga,0,noun,0,u,i,mu,mi,canga,,umucanga,imicanga,sand,sands,,,,,,2499,0,1352935156
earring,iherena :: amaherena,0,noun,0,i,a,ri,ma,herena,,iherena,amaherena,earring,earrings,,,,,,2499,0,1352935509
river,urwuzi :: inzuzi,0,noun,0,u,i,ru,n,uzi,,urwuzi,inzuzi,river,rivers,,,,,,2499,0,1352936889
clean,guhanagura,0,verb,0,,,n,n,hanagura,hanaguye,NOT APPLICABLE,NOT APPLICABLE,,,cleaned,cleaned,,,,2499,0,1353821357
star,inyenyeri :: inyenyeri,0,noun,0,i,i,n,n,nyenyeri,,inyenyeri,inyenyeri,star,stars,,,,,,2499,0,1353821975
snow,urubura :: urubura,0,noun,0,u,u,ru,ru,bura,,urubura,urubura,snow,snow,,,,,,2499,0,1353822325
shit,amabyi :: amabyi,0,noun,0,a,a,ma,ma,byi,,amabyi,amabyi,shit,shits,,,,,,2499,0,1353822505
urine,inkari :: inkari,0,noun,0,i,i,n,n,kari,,inkari,inkari,urine,urine,,,,,,2499,0,1353822779
twin,impanga :: impanga,0,noun,0,i,i,n,n,hanga,,impanga,impanga,twin,twins,,,,,,2499,0,1354417550
accident,impanuka :: impanuka,0,noun,0,i,i,n,n,hanuka,,impanuka,impanuka,accident,accidents,,,,,,2499,0,1354417443
suicide,kwiyahura,0,verb,0,,,n,n,iyahura,iyahuye,NOT APPLICABLE,NOT APPLICABLE,,,suicided,suicided,,,,2499,0,1353824389
lightning,umurabyo :: imirabyo,0,noun,0,u,i,mu,mi,rabyo,,umurabyo,imirabyo,lightning,lightning,,,,,,2503,0,1353899595
decree,iteka :: amateka,0,noun,0,i,a,ri,ma,teka,,iteka,amateka,decree,decrees,,,,,,2503,0,1353900461
segregation,ivangura :: ivangura,0,noun,0,i,i,ri,ri,vangura,,ivangura,ivangura,segregation,segregation,,,,,,2503,0,1353900626
exile,ubuhungiro :: ubuhungiro,0,noun,0,u,u,bu,bu,hungiro,,ubuhungiro,ubuhungiro,exile,exile,,,,,,2503,0,1353900733
architect,umwubatsi :: abubatsi,0,noun,0,u,a,mu,ba,ubatsi,,umwubatsi,abubatsi,architect,architects,,,,,,2503,0,1353900975
